torneo,jugadorA,jugadorB,setsA,setsB,fecha,retirado,acesA,acesB,dobleFaltasA,dobleFaltasB,porcentajePrimerSaqueA,porcentajePrimerSaqueB,porcentajePuntosGanadosConPrimerSaqueA,porcentajePuntosGanadosConPrimerSaqueB,puntosGanadosConPrimerSaqueA,puntosGanadosConPrimerSaqueB,porcentajePuntosGanadosConSegundoSaqueA,porcentajePuntosGanadosConSegundoSaqueB,puntosGanadosConSegundoSaqueA,puntosGanadosConSegundoSaqueB,porcentajeBreakPointsSalvadosA,porcentajeBreakPointsSalvadosB,breakPointsSalvadosA,breakPointsSalvadosB,porcentajeBreakPointsA,porcentajeBreakPointsB,breakPointsA,breakPointsB,velocidadMediaPrimerSaqueA,velocidadMediaPrimerSaqueB,velocidadMediaSegundoSaqueA,velocidadMediaSegundoSaqueB,porcentajePuntosGanadosAlRestoConPrimerSaqueA,porcentajePuntosGanadosAlRestoConPrimerSaqueB,puntosGanadosAlRestoConPrimerSaqueA,puntosGanadosAlRestoConPrimerSaqueB,porcentajePuntosGanadosAlRestoConSegundoSaqueA,porcentajePuntosGanadosAlRestoConSegundoSaqueB,puntosGanadosAlRestoConSegundoSaqueA,puntosGanadosAlRestoConSegundoSaqueB,winnersA,winnersB,erroresNoForzadosA,erroresNoForzadosB,porcentajePuntosGanadosRedA,porcentajePuntosGanadosRedB,puntosGanadosRedA,puntosGanadosRedB,porcentajePuntosGanadosSaqueA,porcentajePuntosGanadosSaqueB,puntosGanadosSaqueA,puntosGanadosSaqueB,porcentajePuntosGanadosRestoA,porcentajePuntosGanadosRestoB,puntosGanadosRestoA,puntosGanadosRestoB,porcentajePuntosGanadosA,porcentajePuntosGanadosB,puntosGanadosA,puntosGanadosB,puntosGanadosUltimas10BolasA,puntosGanadosUltimas10BolasB,puntosDePartidoSalvadosA,puntosDePartidoSalvadosB,porcentajeJuegosGanadosSaqueA,porcentajeJuegosGanadosSaqueB,juegosGanadosSaqueA,juegosGanadosSaqueB,porcentajeJuegosGanadosRestoA,porcentajeJuegosGanadosRestoB,juegosGanadosRestoA,juegosGanadosRestoB,porcentajeJuegosGanadosA,porcentajeJuegosGanadosB,juegosGanadosA,juegosGanadosB,cuotaA,cuotaB,cuotaA_2,cuotaB_2,dobleA,dobleB,porcentajeJuegosGanadosPrimerSaqueA,juegosGanadosPrimerSaqueA,porcentajeJuegosGanadosPrimerSaqueB,juegosGanadosPrimerSaqueB,porcentajeJuegosGanadosSegundoSaqueA,JuegosGanadosSegundoSaqueA,porcentajeJuegosGanadosSegundoSaqueB,JuegosGanadosSegundoSaqueB,BreakPointsSalvadosA,BreakPointsSalvadosB,PuntosGanadosAlRestoConPrimerSaqueA,PuntosGanadosAlRestoConPrimerSaqueB,porcentajePuntosGanadosAlRestoA,PuntosGanadosAlRestoA,porcentajePuntosGanadosAlRestoB,PuntosGanadosAlRestoB,PuntosGanadosAlRestoConSegundoSaqueA,PuntosGanadosAlRestoConSegundoSaqueB,porcentajePuntosBreakConvertidosA,PuntosBreakConvertidosA,porcentajePuntosBreakConvertidosB,PuntosBreakConvertidosB,PuntosGanadosRedA,PuntosGanadosRedB,porcentajePuntosGanadosAlSaqueA,PuntosGanadosAlSaqueA,porcentajePuntosGanadosAlSaqueB,PuntosGanadosAlSaqueB,PuntosGanadosA,PuntosGanadosB,PuntosGanadosUltimas10BolasA,PuntosGanadosUltimas10BolasB,BolasDePartidoSalvadasA,BolasDePartidoSalvadasB,porcentajeJuegosGanadosAlSaqueA,JuegosGanadosAlSaqueA,porcentajeJuegosGanadosAlSaqueB,JuegosGanadosAlSaqueB,porcentajeJuegosGanadosAlRestoA,JuegosGanadosAlRestoA,porcentajeJuegosGanadosAlRestoB,JuegosGanadosAlRestoB,JuegosGanadosA,JuegosGanadosB
US Open,Shevchenko A.,Tiafoe F.,0,2,28.08. 19:40,no,3,5,,,43%,64%,,,,,,,,,55%,80%,,,,,,,,,,,34%,50%,,,39%,56%,,,17,23,21,16,44%,56%,,,,,,,,,,,41%,59%,,,,,,,,,,,,,,,28%,72%,,,5.50,1.14,5.50,1.14,7,1,50%,(12/24),66%,(27/41),44%,(14/32),61%,(14/23),(6/11),(4/5),(14/41),(12/24),36%,(23/64),54%,(30/56),(9/23),(18/32),20%,(1/5),45%,(5/11),(4/9),(15/27),46%,(26/56),64%,(41/64),(49/120),(71/120),3,7,0,0,44%,(4/9),89%,(8/9),11%,(1/9),56%,(5/9),(5/18),(13/18)
US Open,Muller A.,Zverev A.,0,3,28.08. 19:15,no,4,15,,,64%,64%,,,,,,,,,67%,50%,,,,,,,,,,,16%,34%,,,45%,56%,,,27,43,41,29,69%,67%,,,,,,,,,,,45%,56%,,,,,,,,,,,,,,,38%,62%,,,17.00,1.03,17.00,1.03,1,2,66%,(48/73),84%,(46/55),44%,(18/41),55%,(17/31),(8/12),(1/2),(9/55),(25/73),27%,(23/86),42%,(48/114),(14/31),(23/41),50%,(1/2),33%,(4/12),(18/26),(14/21),58%,(66/114),73%,(63/86),(89/200),(111/200),3,7,1,0,71%,(10/14),93%,(14/15),7%,(1/15),29%,(4/14),(11/29),(18/29)
US Open,Nakashima B.,Cazaux A.,3,0,28.08. 19:05,no,12,6,,,67%,53%,,,,,,,,,100%,43%,,,,,,,,,,,27%,25%,,,51%,27%,,,27,30,21,31,62%,69%,,,,,,,,,,,56%,44%,,,,,,,,,,,,,,,64%,36%,,,1.29,3.75,1.29,3.75,1,3,75%,(39/52),73%,(32/44),73%,(19/26),49%,(19/39),(2/2),(3/7),(12/44),(13/52),39%,(32/83),26%,(20/78),(20/39),(7/26),57%,(4/7),0%,(0/2),(8/13),(11/16),74%,(58/78),61%,(51/83),(90/161),(71/161),7,3,0,0,100%,(14/14),71%,(10/14),29%,(4/14),0%,(0/14),(18/28),(10/28)
US Open,Baez S.,Griekspoor T.,0,1,28.08. 19:00,no,0,4,,,76%,69%,,,,,,,,,73%,100%,,,,,,,,,,,9%,47%,,,60%,80%,,,3,11,19,9,67%,83%,,,,,,,,,,,36%,64%,,,,,,,,,,,,,,,11%,89%,,,2.38,1.57,2.38,1.57,1,4,53%,(17/32),91%,(20/22),20%,(2/10),40%,(4/10),(8/11),(3/3),(2/22),(15/32),25%,(8/32),55%,(23/42),(6/10),(8/10),0%,(0/3),27%,(3/11),(2/3),(5/6),45%,(19/42),75%,(24/32),(27/74),(47/74),4,6,0,0,25%,(1/4),100%,(5/5),0%,(0/5),75%,(3/4),(1/9),(8/9)
US Open,Cerundolo F.,Etcheverry T. M.,2,3,28.08. 17:10,no,9,23,,,55%,62%,,,,,,,,,69%,29%,,,,,,,,,,,20%,30%,,,56%,48%,,,36,42,64,62,54%,63%,,,,,,,,,,,49%,51%,,,,,,,,,,,,,,,49%,51%,,,2.00,1.80,2.00,1.80,5,5,70%,(60/86),80%,(68/85),52%,(36/69),44%,(23/52),(11/16),(2/7),(17/85),(26/86),34%,(46/137),38%,(59/155),(29/52),(33/69),71%,(5/7),31%,(5/16),(13/24),(15/24),62%,(96/155),66%,(91/137),(142/292),(150/292),5,5,0,0,77%,(17/22),78%,(18/23),22%,(5/23),23%,(5/22),(22/45),(23/45)
US Open,Hijikata R.,Dimitrov G.,0,3,28.08. 17:10,no,5,15,,,69%,60%,,,,,,,,,50%,0%,,,,,,,,,,,10%,41%,,,41%,68%,,,17,36,29,25,52%,86%,,,,,,,,,,,39%,61%,,,,,,,,,,,,,,,31%,69%,,,9.00,1.07,9.00,1.07,3,6,59%,(41/70),90%,(36/40),32%,(10/31),59%,(16/27),(6/12),(0/1),(4/40),(29/70),22%,(15/67),50%,(50/101),(11/27),(21/31),100%,(1/1),50%,(6/12),(13/25),(12/14),50%,(51/101),78%,(52/67),(66/168),(102/168),4,6,5,0,54%,(7/13),92%,(12/13),8%,(1/13),46%,(6/13),(8/26),(18/26)
US Open,Krueger M.,Lehecka J.,2,3,28.08. 17:10,no,9,29,,,58%,54%,,,,,,,,,75%,71%,,,,,,,,,,,21%,26%,,,50%,48%,,,44,67,53,58,69%,71%,,,,,,,,,,,50%,50%,,,,,,,,,,,,,,,50%,50%,,,4.33,1.22,4.33,1.22,4,13,74%,(72/97),79%,(70/89),52%,(37/71),50%,(38/76),(12/16),(10/14),(19/89),(25/97),35%,(57/165),35%,(59/168),(38/76),(34/71),29%,(4/14),25%,(4/16),(29/42),(17/24),65%,(109/168),65%,(108/165),(166/333),(167/333),4,6,1,0,84%,(21/25),84%,(21/25),16%,(4/25),16%,(4/25),(25/50),(25/50)
US Open,Sonego L.,Paul T.,1,3,28.08. 04:45,no,4,8,,,61%,64%,,,,,,,,,40%,85%,,,,,,,,,,,30%,32%,,,50%,46%,,,28,39,36,37,65%,78%,,,,,,,,,,,48%,52%,,,,,,,,,,,,,,,39%,61%,,,4.33,1.22,4.33,1.22,5,5,68%,(42/62),70%,(62/88),54%,(21/39),50%,(25/50),(4/10),(11/13),(26/88),(20/62),37%,(51/138),38%,(38/101),(25/50),(18/39),15%,(2/13),60%,(6/10),(26/40),(42/54),62%,(63/101),63%,(87/138),(114/239),(125/239),6,4,0,0,68%,(13/19),89%,(17/19),11%,(2/19),32%,(6/19),(15/38),(23/38)
US Open,Alcaraz C.,Tu L.,3,1,28.08. 01:15,no,8,2,,,61%,55%,,,,,,,,,67%,63%,,,,,,,,,,,40%,20%,,,57%,34%,,,50,19,30,32,70%,50%,,,,,,,,,,,59%,41%,,,,,,,,,,,,,,,65%,35%,,,-,51.00,-,51.00,4,6,80%,(44/55),60%,(40/67),66%,(23/35),43%,(23/54),(4/6),(12/19),(27/67),(11/55),48%,(58/121),26%,(23/90),(31/54),(12/35),37%,(7/19),33%,(2/6),(31/44),(21/42),74%,(67/90),52%,(63/121),(125/211),(86/211),6,4,0,2,88%,(15/17),59%,(10/17),41%,(7/17),12%,(2/17),(22/34),(12/34)
US Open,Bellucci M.,Wawrinka S.,3,0,28.08. 01:10,no,12,9,,,64%,48%,,,,,,,,,67%,50%,,,,,,,,,,,21%,12%,,,47%,38%,,,36,23,27,32,53%,53%,,,,,,,,,,,55%,45%,,,,,,,,,,,,,,,58%,42%,,,1.40,3.00,1.40,3.00,1,7,88%,(51/58),79%,(38/48),63%,(20/32),53%,(28/53),(2/3),(3/6),(10/48),(7/58),35%,(35/101),21%,(19/90),(25/53),(12/32),50%,(3/6),33%,(1/3),(10/19),(9/17),79%,(71/90),65%,(66/101),(106/191),(85/191),6,4,0,0,94%,(15/16),80%,(12/15),20%,(3/15),6%,(1/16),(18/31),(13/31)
