torneo,jugadorA,jugadorB,setsA,setsB,fecha,retirado,acesA,acesB,dobleFaltasA,dobleFaltasB,porcentajePrimerSaqueA,porcentajePrimerSaqueB,porcentajePuntosGanadosConPrimerSaqueA,porcentajePuntosGanadosConPrimerSaqueB,puntosGanadosConPrimerSaqueA,puntosGanadosConPrimerSaqueB,porcentajePuntosGanadosConSegundoSaqueA,porcentajePuntosGanadosConSegundoSaqueB,puntosGanadosConSegundoSaqueA,puntosGanadosConSegundoSaqueB,porcentajeBreakPointsSalvadosA,porcentajeBreakPointsSalvadosB,breakPointsSalvadosA,breakPointsSalvadosB,porcentajeBreakPointsA,porcentajeBreakPointsB,breakPointsA,breakPointsB,velocidadMediaPrimerSaqueA,velocidadMediaPrimerSaqueB,velocidadMediaSegundoSaqueA,velocidadMediaSegundoSaqueB,porcentajePuntosGanadosAlRestoConPrimerSaqueA,porcentajePuntosGanadosAlRestoConPrimerSaqueB,puntosGanadosAlRestoConPrimerSaqueA,puntosGanadosAlRestoConPrimerSaqueB,porcentajePuntosGanadosAlRestoConSegundoSaqueA,porcentajePuntosGanadosAlRestoConSegundoSaqueB,puntosGanadosAlRestoConSegundoSaqueA,puntosGanadosAlRestoConSegundoSaqueB,winnersA,winnersB,erroresNoForzadosA,erroresNoForzadosB,porcentajePuntosGanadosRedA,porcentajePuntosGanadosRedB,puntosGanadosRedA,puntosGanadosRedB,porcentajePuntosGanadosSaqueA,porcentajePuntosGanadosSaqueB,puntosGanadosSaqueA,puntosGanadosSaqueB,porcentajePuntosGanadosRestoA,porcentajePuntosGanadosRestoB,puntosGanadosRestoA,puntosGanadosRestoB,porcentajePuntosGanadosA,porcentajePuntosGanadosB,puntosGanadosA,puntosGanadosB,puntosGanadosUltimas10BolasA,puntosGanadosUltimas10BolasB,puntosDePartidoSalvadosA,puntosDePartidoSalvadosB,porcentajeJuegosGanadosSaqueA,porcentajeJuegosGanadosSaqueB,juegosGanadosSaqueA,juegosGanadosSaqueB,porcentajeJuegosGanadosRestoA,porcentajeJuegosGanadosRestoB,juegosGanadosRestoA,juegosGanadosRestoB,porcentajeJuegosGanadosA,porcentajeJuegosGanadosB,juegosGanadosA,juegosGanadosB,cuotaA,cuotaB,cuotaA_2,cuotaB_2,dobleA,dobleB,porcentajeJuegosGanadosPrimerSaqueA,juegosGanadosPrimerSaqueA,porcentajeJuegosGanadosPrimerSaqueB,juegosGanadosPrimerSaqueB,porcentajeJuegosGanadosSegundoSaqueA,JuegosGanadosSegundoSaqueA,porcentajeJuegosGanadosSegundoSaqueB,JuegosGanadosSegundoSaqueB,BreakPointsSalvadosA,BreakPointsSalvadosB,PuntosGanadosAlRestoConPrimerSaqueA,PuntosGanadosAlRestoConPrimerSaqueB,porcentajePuntosGanadosAlRestoA,PuntosGanadosAlRestoA,porcentajePuntosGanadosAlRestoB,PuntosGanadosAlRestoB,PuntosGanadosAlRestoConSegundoSaqueA,PuntosGanadosAlRestoConSegundoSaqueB,porcentajePuntosBreakConvertidosA,PuntosBreakConvertidosA,porcentajePuntosBreakConvertidosB,PuntosBreakConvertidosB,PuntosGanadosRedA,PuntosGanadosRedB,porcentajePuntosGanadosAlSaqueA,PuntosGanadosAlSaqueA,porcentajePuntosGanadosAlSaqueB,PuntosGanadosAlSaqueB,PuntosGanadosA,PuntosGanadosB,PuntosGanadosUltimas10BolasA,PuntosGanadosUltimas10BolasB,BolasDePartidoSalvadasA,BolasDePartidoSalvadasB,porcentajeJuegosGanadosAlSaqueA,JuegosGanadosAlSaqueA,porcentajeJuegosGanadosAlSaqueB,JuegosGanadosAlSaqueB,porcentajeJuegosGanadosAlRestoA,JuegosGanadosAlRestoA,porcentajeJuegosGanadosAlRestoB,JuegosGanadosAlRestoB,JuegosGanadosA,JuegosGanadosB
Australian Open,Sinner J.,Zverev A.,3,0,26.01. 09:45,no,6,12,,,60%,68%,,,,,,,,,0%,80%,,,,,,,196 km/h,206 km/h,151 km/h,172 km/h,31%,16%,,,50%,37%,,,32,25,27,45,77%,52%,,,,,,,,,,,56%,44%,,,,,,,,,,,,,,,60%,40%,,,1.33,3.40,1.33,3.40,2,2,84%,(48/57),69%,(45/65),63%,(24/38),50%,(15/30),(0/0),(8/10),(20/65),(9/57),37%,(35/95),24%,(23/95),(15/30),(14/38),20%,(2/10),0%,(0/0),(10/13),(14/27),76%,(72/95),63%,(60/95),(107/190),(83/190),5,5,0,0,100%,(16/16),86%,(12/14),14%,(2/14),0%,(0/16),(18/30),(12/30)
Australian Open,Sinner J.,Shelton B.,3,0,24.01. 09:45,no,8,7,,,57%,59%,,,,,,,,,71%,54%,,,,,,,192 km/h,188 km/h,158 km/h,167 km/h,43%,25%,,,42%,37%,,,23,27,26,55,70%,68%,,,,,,,,,,,57%,43%,,,,,,,,,,,,,,,64%,36%,,,1.05,11.00,1.05,11.00,0,6,75%,(38/51),57%,(40/70),63%,(24/38),46%,(22/48),(5/7),(7/13),(30/70),(13/51),47%,(56/118),30%,(27/89),(20/48),(14/38),46%,(6/13),29%,(2/7),(14/20),(17/25),70%,(62/89),53%,(62/118),(118/207),(89/207),8,2,0,0,86%,(12/14),57%,(8/14),43%,(6/14),14%,(2/14),(18/28),(10/28)
Australian Open,Djokovic N.,Zverev A.,0,1,24.01. 04:45,no,5,8,,,54%,76%,,,,,,,,,100%,100%,,,,,,,187 km/h,207 km/h,146 km/h,171 km/h,17%,28%,,,22%,40%,,,11,24,16,15,36%,50%,,,,,,,,,,,47%,53%,,,,,,,,,,,,,,,50%,50%,,,1.62,2.30,1.62,2.30,0,1,72%,(21/29),83%,(24/29),60%,(15/25),78%,(7/9),(5/5),(3/3),(5/29),(8/29),18%,(7/38),33%,(18/54),(2/9),(10/25),0%,(0/3),0%,(0/5),(5/14),(9/18),67%,(36/54),82%,(31/38),(43/92),(49/92),4,6,0,0,100%,(6/6),100%,(6/6),0%,(0/6),0%,(0/6),(6/12),(6/12)
Australian Open,Sinner J.,De Minaur A.,3,0,22.01. 10:30,no,2,2,,,64%,51%,,,,,,,,,100%,40%,,,,,,,197 km/h,191 km/h,155 km/h,159 km/h,35%,16%,,,61%,19%,,,27,10,19,26,69%,62%,,,,,,,,,,,63%,37%,,,,,,,,,,,,,,,75%,25%,,,1.17,5.00,1.17,5.00,0,1,84%,(32/38),65%,(26/40),81%,(17/21),39%,(15/38),(1/1),(4/10),(14/40),(6/38),47%,(37/78),17%,(10/59),(23/38),(4/21),60%,(6/10),0%,(0/1),(9/13),(8/13),83%,(49/59),53%,(41/78),(86/137),(51/137),7,3,0,1,100%,(12/12),50%,(6/12),50%,(6/12),0%,(0/12),(18/24),(6/24)
Australian Open,Shelton B.,Sonego L.,3,1,22.01. 05:45,no,9,3,,,71%,66%,,,,,,,,,75%,73%,,,,,,,187 km/h,185 km/h,162 km/h,153 km/h,29%,25%,,,48%,41%,,,54,63,33,55,78%,74%,,,,,,,,,,,52%,48%,,,,,,,,,,,,,,,52%,48%,,,1.36,3.20,1.36,3.20,4,1,75%,(75/100),71%,(72/101),59%,(24/41),52%,(27/52),(6/8),(8/11),(29/101),(25/100),35%,(54/153),30%,(42/141),(25/52),(17/41),27%,(3/11),25%,(2/8),(38/49),(67/90),70%,(99/141),65%,(99/153),(153/294),(141/294),7,3,0,0,91%,(20/22),86%,(19/22),14%,(3/22),9%,(2/22),(23/44),(21/44)
Australian Open,Djokovic N.,Alcaraz C.,3,1,21.01. 11:20,no,5,10,,,63%,74%,,,,,,,,,64%,54%,,,,,,,188 km/h,190 km/h,155 km/h,153 km/h,33%,37%,,,67%,42%,,,31,50,27,40,65%,64%,,,,,,,,,,,52%,48%,,,,,,,,,,,,,,,56%,44%,,,2.50,1.53,2.50,1.53,3,5,63%,(54/86),67%,(62/92),58%,(29/50),33%,(11/33),(7/11),(7/13),(30/92),(32/86),42%,(52/125),39%,(53/136),(22/33),(21/50),46%,(6/13),36%,(4/11),(22/34),(18/28),61%,(83/136),58%,(73/125),(135/261),(126/261),5,5,0,0,80%,(16/20),68%,(13/19),32%,(6/19),20%,(4/20),(22/39),(17/39)
Australian Open,Paul T.,Zverev A.,1,3,21.01. 04:15,no,9,7,,,64%,69%,,,,,,,,,43%,64%,,,,,,,188 km/h,207 km/h,144 km/h,176 km/h,28%,33%,,,48%,50%,,,44,27,56,36,74%,73%,,,,,,,,,,,47%,53%,,,,,,,,,,,,,,,49%,51%,,,3.40,1.33,3.40,1.33,2,5,67%,(51/76),72%,(67/93),50%,(21/42),52%,(22/42),(3/7),(7/11),(26/93),(25/76),34%,(46/135),39%,(46/118),(20/42),(21/42),36%,(4/11),57%,(4/7),(35/47),(24/33),61%,(72/118),66%,(89/135),(118/253),(135/253),4,6,2,0,79%,(15/19),80%,(16/20),20%,(4/20),21%,(4/19),(19/39),(20/39)
Australian Open,Michelsen A.,De Minaur A.,0,3,20.01. 10:40,no,3,5,,,67%,42%,,,,,,,,,55%,75%,,,,,,,186 km/h,193 km/h,153 km/h,157 km/h,21%,40%,,,35%,45%,,,23,28,50,25,150%,70%,,,,,,,,,,,43%,57%,,,,,,,,,,,,,,,33%,67%,,,4.00,1.25,4.00,1.25,1,1,60%,(35/58),79%,(30/38),48%,(14/29),63%,(33/52),(6/11),(3/4),(8/38),(23/58),30%,(27/90),44%,(38/87),(18/52),(13/29),25%,(1/4),45%,(5/11),(21/14),(14/20),56%,(49/87),70%,(63/90),(76/177),(101/177),5,5,0,0,62%,(8/13),93%,(13/14),7%,(1/14),38%,(5/13),(9/27),(18/27)
Australian Open,Monfils G.,Shelton B.,1,2,20.01. 06:45,no,12,7,,,60%,69%,,,,,,,,,50%,83%,,,,,,,191 km/h,192 km/h,157 km/h,167 km/h,19%,18%,,,46%,54%,,,45,51,30,35,84%,70%,,,,,,,,,,,48%,52%,,,,,,,,,,,,,,,49%,51%,,,2.30,1.62,2.30,1.62,9,3,82%,(61/74),81%,(67/83),46%,(23/50),54%,(20/37),(2/4),(5/6),(16/83),(13/74),28%,(33/120),32%,(40/124),(17/37),(27/50),17%,(1/6),50%,(2/4),(16/19),(33/47),68%,(84/124),73%,(87/120),(117/244),(127/244),2,8,0,0,89%,(17/19),94%,(17/18),6%,(1/18),11%,(2/19),(18/37),(19/37)
Australian Open,Sonego L.,Tien L.,3,1,20.01. 05:35,no,20,4,,,66%,57%,,,,,,,,,75%,55%,,,,,,,195 km/h,174 km/h,161 km/h,157 km/h,26%,10%,,,68%,56%,,,58,21,34,29,79%,60%,,,,,,,,,,,59%,41%,,,,,,,,,,,,,,,64%,36%,,,1.67,2.20,1.67,2.20,2,7,90%,(57/63),74%,(43/58),44%,(14/32),32%,(14/44),(3/4),(6/11),(15/58),(6/63),44%,(45/102),25%,(24/95),(30/44),(18/32),45%,(5/11),25%,(1/4),(19/24),(6/10),75%,(71/95),56%,(57/102),(116/197),(81/197),8,2,0,0,94%,(16/17),69%,(11/16),31%,(5/16),6%,(1/17),(21/33),(12/33)
Australian Open,Sinner J.,Rune H.,3,1,20.01. 04:10,no,14,5,,,56%,62%,,,,,,,,,80%,50%,,,,,,,197 km/h,185 km/h,161 km/h,158 km/h,34%,17%,,,50%,41%,,,35,31,35,54,67%,61%,,,,,,,,,,,56%,44%,,,,,,,,,,,,,,,60%,40%,,,1.08,8.00,1.08,8.00,6,4,83%,(49/59),66%,(45/68),59%,(27/46),50%,(21/42),(4/5),(4/8),(23/68),(10/59),40%,(44/110),28%,(29/105),(21/42),(19/46),50%,(4/8),20%,(1/5),(10/15),(11/18),72%,(76/105),60%,(66/110),(120/215),(95/215),7,3,0,0,94%,(17/18),76%,(13/17),24%,(4/17),6%,(1/18),(21/35),(14/35)
Australian Open,Djokovic N.,Lehecka J.,3,0,19.01. 09:15,no,9,11,,,59%,57%,,,,,,,,,67%,73%,,,,,,,188 km/h,198 km/h,149 km/h,162 km/h,22%,19%,,,59%,37%,,,27,39,21,44,89%,69%,,,,,,,,,,,55%,45%,,,,,,,,,,,,,,,58%,42%,,,1.25,4.00,1.25,4.00,3,4,81%,(44/54),78%,(47/60),63%,(24/38),41%,(19/46),(2/3),(8/11),(13/60),(10/54),38%,(40/106),26%,(24/92),(27/46),(14/38),27%,(3/11),33%,(1/3),(16/18),(18/26),74%,(68/92),62%,(66/106),(108/198),(90/198),6,4,0,0,94%,(15/16),80%,(12/15),20%,(3/15),6%,(1/16),(18/31),(13/31)
Australian Open,Humbert U.,Zverev A.,1,3,19.01. 08:10,no,12,19,,,71%,71%,,,,,,,,,63%,71%,,,,,,,178 km/h,203 km/h,150 km/h,175 km/h,16%,31%,,,52%,77%,,,23,43,41,29,57%,73%,,,,,,,,,,,43%,57%,,,,,,,,,,,,,,,38%,63%,,,5.00,1.17,5.00,1.17,3,3,69%,(51/74),84%,(51/61),23%,(7/30),48%,(12/25),(10/16),(5/7),(10/61),(23/74),27%,(23/86),44%,(46/104),(13/25),(23/30),29%,(2/7),38%,(6/16),(8/14),(11/15),56%,(58/104),73%,(63/86),(81/190),(109/190),3,7,0,0,63%,(10/16),88%,(14/16),13%,(2/16),38%,(6/16),(12/32),(20/32)
Australian Open,Draper J.,Alcaraz C.,0,2,19.01. 06:05,no,5,6,,,59%,68%,,,,,,,,,67%,67%,,,,,,,185 km/h,194 km/h,150 km/h,154 km/h,18%,45%,,,63%,57%,,,14,38,16,28,44%,86%,,,,,,,,,,,42%,58%,,,,,,,,,,,,,,,32%,68%,,,8.00,1.08,8.00,1.08,2,5,55%,(22/40),83%,(33/40),43%,(12/28),37%,(7/19),(8/12),(2/3),(7/40),(18/40),32%,(19/59),50%,(34/68),(12/19),(16/28),33%,(1/3),33%,(4/12),(4/9),(18/21),50%,(34/68),68%,(40/59),(53/127),(74/127),1,9,0,0,56%,(5/9),90%,(9/10),10%,(1/10),44%,(4/9),(6/19),(13/19)
Australian Open,Davidovich Fokina A.,Paul T.,0,3,19.01. 05:40,no,2,8,,,59%,67%,,,,,,,,,46%,100%,,,,,,,178 km/h,184 km/h,156 km/h,150 km/h,16%,50%,,,45%,60%,,,11,25,27,12,100%,100%,,,,,,,,,,,34%,66%,,,,,,,,,,,,,,,14%,86%,,,4.00,1.25,4.00,1.25,0,0,50%,(18/36),84%,(38/45),32%,(8/25),55%,(12/22),(6/13),(3/3),(7/45),(18/36),25%,(17/67),57%,(35/61),(10/22),(15/25),0%,(0/3),54%,(7/13),(3/3),(1/1),43%,(26/61),75%,(50/67),(43/128),(85/128),2,8,0,0,30%,(3/10),100%,(11/11),0%,(0/11),70%,(7/10),(3/21),(18/21)
Australian Open,Kecmanovic M.,Rune H.,2,3,18.01. 11:20,no,4,16,,,66%,62%,,,,,,,,,56%,38%,,,,,,,182 km/h,185 km/h,150 km/h,160 km/h,23%,31%,,,53%,44%,,,45,83,26,55,57%,63%,,,,,,,,,,,49%,51%,,,,,,,,,,,,,,,45%,55%,,,2.75,1.44,2.75,1.44,6,5,69%,(66/95),77%,(73/95),56%,(27/48),47%,(27/58),(9/16),(3/8),(22/95),(29/95),36%,(57/158),38%,(57/151),(31/58),(21/48),63%,(5/8),44%,(7/16),(12/21),(17/27),62%,(94/151),64%,(101/158),(151/309),(158/309),2,8,0,0,72%,(18/25),81%,(21/26),19%,(5/26),28%,(7/25),(23/51),(28/51)
Australian Open,Sinner J.,Giron M.,3,0,18.01. 09:15,no,8,2,,,60%,59%,,,,,,,,,86%,50%,,,,,,,189 km/h,176 km/h,155 km/h,140 km/h,33%,18%,,,65%,48%,,,35,11,37,23,67%,64%,,,,,,,,,,,58%,42%,,,,,,,,,,,,,,,67%,33%,,,1.01,23.00,1.01,23.00,2,2,82%,(41/50),67%,(32/48),52%,(17/33),35%,(12/34),(6/7),(5/10),(16/48),(9/50),46%,(38/82),30%,(25/83),(22/34),(16/33),50%,(5/10),14%,(1/7),(16/24),(7/11),70%,(58/83),54%,(44/82),(96/165),(69/165),7,3,0,0,93%,(13/14),62%,(8/13),38%,(5/13),7%,(1/14),(18/27),(9/27)
Australian Open,Shelton B.,Musetti L.,3,1,18.01. 07:10,no,11,2,,,70%,59%,,,,,,,,,67%,50%,,,,,,,197 km/h,187 km/h,170 km/h,147 km/h,26%,19%,,,40%,53%,,,38,29,56,33,60%,67%,,,,,,,,,,,51%,49%,,,,,,,,,,,,,,,53%,48%,,,1.62,2.30,1.62,2.30,3,3,81%,(67/83),74%,(51/69),47%,(17/36),60%,(28/47),(4/6),(3/6),(18/69),(16/83),32%,(37/116),29%,(35/119),(19/47),(19/36),50%,(3/6),33%,(2/6),(33/55),(18/27),71%,(84/119),68%,(79/116),(121/235),(114/235),6,4,0,0,90%,(18/20),85%,(17/20),15%,(3/20),10%,(2/20),(21/40),(19/40)
Australian Open,Moutet C.,Tien L.,0,3,18.01. 05:45,no,3,1,,,70%,52%,,,,,,,,,60%,77%,,,,,,,158 km/h,170 km/h,129 km/h,153 km/h,27%,40%,,,45%,53%,,,33,30,42,38,65%,69%,,,,,,,,,,,46%,54%,,,,,,,,,,,,,,,40%,60%,,,1.91,1.91,1.91,1.91,2,5,60%,(45/75),73%,(41/56),47%,(15/32),55%,(28/51),(9/15),(10/13),(15/56),(30/75),36%,(38/107),44%,(47/107),(23/51),(17/32),23%,(3/13),40%,(6/15),(13/20),(24/35),56%,(60/107),64%,(69/107),(98/214),(116/214),2,8,1,0,60%,(9/15),80%,(12/15),20%,(3/15),40%,(6/15),(12/30),(18/30)
Australian Open,Sonego L.,Marozsan F.,3,1,18.01. 05:30,no,15,9,,,63%,65%,,,,,,,,,100%,73%,,,,,,,191 km/h,182 km/h,161 km/h,149 km/h,28%,15%,,,51%,49%,,,51,43,29,48,92%,67%,,,,,,,,,,,54%,46%,,,,,,,,,,,,,,,62%,38%,,,1.80,2.00,1.80,2.00,3,7,85%,(69/81),73%,(63/86),55%,(26/47),49%,(23/47),(5/5),(11/15),(24/86),(12/81),36%,(48/134),27%,(35/130),(24/47),(23/47),27%,(4/15),0%,(0/5),(22/24),(24/36),73%,(95/130),64%,(86/134),(143/264),(121/264),6,4,0,1,100%,(20/20),79%,(15/19),21%,(4/19),0%,(0/20),(24/39),(15/39)
Australian Open,Cerundolo F.,De Minaur A.,1,3,18.01. 04:10,no,5,7,,,52%,49%,,,,,,,,,56%,44%,,,,,,,185 km/h,190 km/h,140 km/h,154 km/h,30%,37%,,,44%,53%,,,40,22,91,62,59%,63%,,,,,,,,,,,47%,53%,,,,,,,,,,,,,,,45%,55%,,,8.00,1.08,8.00,1.08,6,9,63%,(50/79),70%,(47/67),47%,(34/73),56%,(39/70),(9/16),(4/9),(20/67),(29/79),37%,(51/137),45%,(68/152),(31/70),(39/73),56%,(5/9),44%,(7/16),(16/27),(15/24),55%,(84/152),63%,(86/137),(135/289),(154/289),4,6,2,0,67%,(14/21),76%,(16/21),24%,(5/21),33%,(7/21),(19/42),(23/42)
Australian Open,Fritz T.,Monfils G.,1,3,18.01. 04:05,no,12,24,,,67%,61%,,,,,,,,,67%,75%,,,,,,,191 km/h,190 km/h,151 km/h,167 km/h,18%,25%,,,32%,42%,,,44,58,36,34,53%,73%,,,,,,,,,,,47%,53%,,,,,,,,,,,,,,,49%,51%,,,1.10,7.00,1.10,7.00,0,4,75%,(65/87),82%,(61/74),58%,(25/43),68%,(32/47),(4/6),(3/4),(13/74),(22/87),23%,(28/121),31%,(40/130),(15/47),(18/43),25%,(1/4),33%,(2/6),(16/30),(11/15),69%,(90/130),77%,(93/121),(118/251),(133/251),3,7,0,0,91%,(20/22),95%,(20/21),5%,(1/21),9%,(2/22),(21/43),(22/43)
Australian Open,Michelsen A.,Khachanov K.,3,0,18.01. 01:15,no,8,14,,,63%,63%,,,,,,,,,67%,0%,,,,,,,189 km/h,188 km/h,169 km/h,160 km/h,27%,27%,,,52%,41%,,,39,32,27,23,76%,63%,,,,,,,,,,,53%,47%,,,,,,,,,,,,,,,62%,38%,,,2.50,1.53,2.50,1.53,4,1,73%,(45/62),73%,(38/52),59%,(22/37),48%,(15/31),(2/3),(0/4),(14/52),(17/62),36%,(30/83),32%,(32/99),(16/31),(15/37),100%,(4/4),33%,(1/3),(22/29),(10/16),68%,(67/99),64%,(53/83),(97/182),(85/182),7,3,0,0,93%,(14/15),71%,(10/14),29%,(4/14),7%,(1/15),(18/29),(11/29)
Australian Open,Draper J.,Vukic A.,3,2,17.01. 10:55,no,29,22,,,68%,63%,,,,,,,,,57%,78%,,,,,,,185 km/h,185 km/h,145 km/h,150 km/h,22%,25%,,,59%,48%,,,74,81,45,53,76%,66%,,,,,,,,,,,51%,49%,,,,,,,,,,,,,,,46%,54%,,,1.22,4.33,1.22,4.33,4,6,75%,(84/112),78%,(93/119),52%,(27/52),41%,(28/69),(8/14),(14/18),(26/119),(28/112),36%,(67/188),32%,(53/164),(41/69),(25/52),22%,(4/18),43%,(6/14),(32/42),(29/44),68%,(111/164),64%,(121/188),(178/352),(174/352),6,4,0,1,78%,(21/27),85%,(23/27),15%,(4/27),22%,(6/27),(25/54),(29/54)
Australian Open,Lehecka J.,Bonzi B.,3,0,17.01. 09:35,no,9,1,,,68%,60%,,,,,,,,,100%,38%,,,,,,,193 km/h,187 km/h,166 km/h,155 km/h,43%,19%,,,44%,42%,,,33,15,22,31,89%,73%,,,,,,,,,,,58%,42%,,,,,,,,,,,,,,,69%,31%,,,1.25,3.75,1.25,3.75,1,2,81%,(42/52),57%,(29/51),58%,(14/24),56%,(19/34),(2/2),(3/8),(22/51),(10/52),44%,(37/85),26%,(20/76),(15/34),(10/24),63%,(5/8),0%,(0/2),(17/19),(11/15),74%,(56/76),56%,(48/85),(93/161),(68/161),5,5,0,1,100%,(13/13),62%,(8/13),38%,(5/13),0%,(0/13),(18/26),(8/26)
Australian Open,Djokovic N.,Machac T.,3,0,17.01. 09:15,no,9,4,,,65%,63%,,,,,,,,,67%,67%,,,,,,,188 km/h,185 km/h,155 km/h,153 km/h,36%,20%,,,63%,46%,,,28,25,20,35,67%,55%,,,,,,,,,,,58%,42%,,,,,,,,,,,,,,,67%,33%,,,1.22,4.33,1.22,4.33,4,5,80%,(41/51),64%,(35/55),54%,(15/28),38%,(12/32),(2/3),(10/15),(20/55),(10/51),46%,(40/87),29%,(23/79),(20/32),(13/28),33%,(5/15),33%,(1/3),(12/18),(12/22),71%,(56/79),54%,(47/87),(96/166),(70/166),6,4,0,1,93%,(13/14),62%,(8/13),38%,(5/13),7%,(1/14),(18/27),(9/27)
Australian Open,Humbert U.,Fils A.,2,1,17.01. 09:00,no,3,6,,,63%,64%,,,,,,,,,57%,50%,,,,,,,181 km/h,193 km/h,155 km/h,166 km/h,36%,24%,,,51%,61%,,,19,28,36,36,50%,61%,,,,,,,,,,,52%,48%,,,,,,,,,,,,,,,55%,45%,,,1.57,2.38,1.57,2.38,6,2,76%,(50/66),64%,(42/66),39%,(15/38),49%,(18/37),(4/7),(5/10),(24/66),(16/66),41%,(41/101),37%,(38/102),(19/37),(23/38),50%,(5/10),43%,(3/7),(9/18),(11/18),63%,(64/102),59%,(60/101),(105/203),(98/203),8,2,0,0,81%,(13/16),71%,(12/17),29%,(5/17),19%,(3/16),(18/33),(15/33)
Australian Open,Mensik J.,Davidovich Fokina A.,2,3,17.01. 05:35,no,16,4,,,57%,69%,,,,,,,,,33%,77%,,,,,,,200 km/h,180 km/h,154 km/h,156 km/h,31%,17%,,,48%,59%,,,48,51,34,44,49%,79%,,,,,,,,,,,50%,50%,,,,,,,,,,,,,,,49%,51%,,,1.50,2.63,1.50,2.63,7,3,83%,(67/81),69%,(74/108),39%,(24/61),52%,(25/48),(3/9),(17/22),(34/108),(14/81),37%,(57/156),36%,(51/142),(23/48),(36/61),23%,(5/22),67%,(6/9),(20/41),(41/52),64%,(91/142),63%,(99/156),(148/298),(150/298),2,8,0,2,76%,(19/25),79%,(19/24),21%,(5/24),24%,(6/25),(24/49),(25/49)
Australian Open,Fearnley J.,Zverev A.,0,3,17.01. 05:05,no,6,7,,,66%,72%,,,,,,,,,58%,67%,,,,,,,189 km/h,200 km/h,159 km/h,170 km/h,21%,38%,,,57%,52%,,,27,25,34,15,60%,82%,,,,,,,,,,,43%,58%,,,,,,,,,,,,,,,38%,62%,,,9.00,1.07,9.00,1.07,6,1,62%,(32/52),79%,(46/58),48%,(13/27),52%,(12/23),(7/12),(4/6),(12/58),(20/52),28%,(23/81),43%,(34/79),(13/23),(14/27),33%,(2/6),42%,(5/12),(15/25),(14/17),57%,(45/79),72%,(58/81),(68/160),(92/160),5,5,0,0,64%,(9/14),87%,(13/15),13%,(2/15),36%,(5/14),(11/29),(18/29)
Australian Open,Borges N.,Alcaraz C.,1,3,17.01. 04:15,no,3,9,,,69%,61%,,,,,,,,,62%,100%,,,,,,,183 km/h,193 km/h,150 km/h,155 km/h,16%,36%,,,43%,47%,,,15,54,41,50,62%,76%,,,,,,,,,,,46%,54%,,,,,,,,,,,,,,,37%,63%,,,17.00,1.03,17.00,1.03,1,3,64%,(60/94),84%,(56/67),53%,(23/43),57%,(24/42),(8/13),(3/3),(11/67),(34/94),27%,(29/109),39%,(54/137),(18/42),(20/43),0%,(0/3),38%,(5/13),(16/26),(25/33),61%,(83/137),73%,(80/109),(112/246),(134/246),4,6,0,0,74%,(14/19),100%,(19/19),0%,(0/19),26%,(5/19),(14/38),(24/38)
Australian Open,Carballes Baena R.,Paul T.,0,3,17.01. 03:15,no,3,7,,,55%,55%,,,,,,,,,56%,60%,,,,,,,184 km/h,183 km/h,143 km/h,145 km/h,21%,31%,,,49%,80%,,,19,56,28,29,75%,80%,,,,,,,,,,,41%,59%,,,,,,,,,,,,,,,31%,69%,,,6.00,1.13,6.00,1.13,10,2,69%,(37/54),79%,(37/47),20%,(9/44),51%,(20/39),(9/16),(3/5),(10/47),(17/54),34%,(29/86),53%,(52/98),(19/39),(35/44),40%,(2/5),44%,(7/16),(15/20),(37/46),47%,(46/98),66%,(57/86),(75/184),(109/184),3,7,0,0,46%,(6/13),85%,(11/13),15%,(2/13),54%,(7/13),(8/26),(18/26)
Australian Open,Tien L.,Medvedev D.,3,2,16.01. 12:10,no,7,20,,,71%,56%,,,,,,,,,58%,40%,,,,,,,,,,,29%,39%,,,57%,56%,,,53,52,79,82,63%,57%,,,,,,,,,,,49%,51%,,,,,,,,,,,,,,,48%,52%,,,5.00,1.17,5.00,1.17,4,9,61%,(86/142),71%,(67/95),44%,(26/59),43%,(32/74),(14/24),(6/15),(28/95),(56/142),41%,(70/169),44%,(89/201),(42/74),(33/59),60%,(9/15),42%,(10/24),(26/41),(21/37),56%,(112/201),59%,(99/169),(182/370),(188/370),7,3,0,1,62%,(16/26),65%,(17/26),35%,(9/26),38%,(10/26),(25/52),(27/52)
Australian Open,Sinner J.,Schoolkate T.,3,1,16.01. 09:15,no,14,13,,,62%,60%,,,,,,,,,0%,62%,,,,,,,,,,,29%,23%,,,65%,45%,,,42,35,29,52,67%,74%,,,,,,,,,,,54%,46%,,,,,,,,,,,,,,,61%,39%,,,1.01,34.00,1.01,34.00,5,10,77%,(48/62),71%,(59/83),55%,(21/38),35%,(19/55),(0/1),(8/13),(24/83),(14/62),43%,(60/138),31%,(31/100),(36/55),(17/38),38%,(5/13),100%,(1/1),(14/21),(32/43),69%,(69/100),57%,(78/138),(129/238),(109/238),5,5,0,1,94%,(17/18),72%,(13/18),28%,(5/18),6%,(1/18),(22/36),(14/36)
